home_team,away_team,home_score,away_score,neutral
Providence,Boston College,57,62,0
Boston College,Fairfield,89,70,0
The Citadel,Boston College,71,75,0
Boston College,Richmond,68,61,0
Boston College,Harvard,73,64,0
Boston College,Colorado State,74,86,1
Boston College,Loyola-Chicago,68,71,1
Vanderbilt,Boston College,62,80,0
Boston College,NC State,78,84,0
Boston College,Cent Conn St,82,68,0
Boston College,Holy Cross,95,64,0
Boston College,St John's,86,80,1
Boston College,Lehigh,85,69,0
Boston College,Wake Forest,78,84,0
Georgia Tech,Boston College,87,95,0
Syracuse,Boston College,69,59,0
Clemson,Boston College,89,78,0
Boston College,Notre Dame,63,59,0
Boston College,UNC,66,76,0
Virginia Tech,Boston College,76,71,0
Notre Dame,Boston College,58,61,0
Boston College,Syracuse,80,75,0
Boston College,FSU,62,63,0
Duke,Boston College,80,65,0
Boston College,Louisville,89,77,0
Boston College,Miami,85,77,0
FSU,Boston College,84,76,0
NC State,Boston College,81,70,0
Boston College,UVA,68,72,0
Boston College,Pitt,65,90,0
Miami,Boston College,57,67,0
Louisville,Boston College,61,67,0
Boston College,Miami,81,65,1
Boston College,Clemson,76,55,1
Boston College,UVA,60,66,1
Clemson,Winthrop,78,56,0
Clemson,UAB,77,76,1
Davidson,Clemson,65,68,1
Clemson,Boise State,85,68,0
Clemson,Alcorn State,90,69,0
Alabama,Clemson,77,85,0
Pitt,Clemson,70,79,0
Clemson,South Carolina,72,67,0
Clemson,TCU,74,66,1
Memphis,Clemson,79,77,0
Clemson,Radford,93,58,0
Miami,Clemson,95,82,0
Clemson,UNC,55,65,0
Virginia Tech,Clemson,87,72,0
Clemson,Georgia Tech,90,93,0
FSU,Clemson,67,78,0
Duke,Clemson,72,71,0
Clemson,Louisville,70,64,0
Clemson,UVA,65,66,0
UNC,Clemson,76,80,0
Syracuse,Clemson,68,77,0
Clemson,Miami,77,60,0
Clemson,NC State,77,78,0
Georgia Tech,Clemson,57,81,0
Clemson,FSU,74,63,0
Clemson,Pitt,69,62,0
Notre Dame,Clemson,69,62,0
Clemson,Syracuse,90,75,0
Wake Forest,Clemson,81,76,0
Duke,Dartmouth,92,54,0
Duke,Arizona,73,78,0
Michigan State,Duke,65,74,1
Duke,Bucknell,90,60,0
Duke,La Salle,95,66,0
Arkansas,Duke,80,75,0
Georgia Tech,Duke,72,68,0
Duke,Charlotte,80,56,0
Duke,Hofstra,89,68,0
Duke,Baylor,78,70,1
Duke,Syracuse,86,66,0
Notre Dame,Duke,59,67,0
Pitt,Duke,53,75,0
Duke,Georgia Tech,84,79,0
Duke,Pitt,76,80,0
Louisville,Duke,69,83,0
Virginia Tech,Duke,67,77,0
UNC,Duke,93,84,0
Duke,Notre Dame,71,53,0
Duke,Wake Forest,77,69,0
FSU,Duke,67,76,0
Miami,Duke,55,84,0
Wake Forest,Duke,83,79,0
Duke,Louisville,84,59,0
Duke,UVA,73,48,0
NC State,Duke,64,79,0
Duke,UNC,79,84,0
Duke,NC State,69,74,1
FSU,Kennesaw St,94,67,0
FSU,Cent Michigan,94,67,0
Florida,FSU,89,68,0
UNLV,FSU,75,83,1
Colorado,FSU,71,77,1
FSU,Georgia,66,68,0
UNC,FSU,78,70,0
FSU,USF,72,88,1
