"game.id","home.id","away.id","home.score","away.score","neutral","ot"
"401641100","2507","103","57","62",0,""
"401576156","103","2217","89","70",0,""
"401593809","2643","103","71","75",0,""
"401593790","103","257","68","61",0,""
"401581739","103","108","73","64",0,""
"401581584","103","36","74","86",1,""
"401581585","103","2350","68","71",1,""
"401574558","238","103","62","80",0,""
"401604089","103","152","78","84",0,"OT"
"401592106","103","2115","82","68",0,""
"401593810","103","107","95","64",0,""
"401583793","103","2599","86","80",1,""
"401593811","103","2329","85","69",0,""
"401604099","103","154","78","84",0,""
"401604108","59","103","87","95",0,""
"401604118","183","103","69","59",0,""
"401604120","228","103","89","78",0,""
"401604127","103","87","63","59",0,""
"401604134","103","153","66","76",0,""
"401604145","259","103","76","71",0,""
"401604153","87","103","58","61",0,""
"401604158","103","183","80","75",0,""
"401604170","103","52","62","63",0,""
"401604176","150","103","80","65",0,""
"401604186","103","97","89","77",0,""
"401604192","103","2390","85","77",0,""
"401604199","52","103","84","76",0,""
"401604207","152","103","81","70",0,""
"401604216","103","258","68","72",0,""
"401604220","103","221","65","90",0,""
"401604231","2390","103","57","67",0,""
"401604234","97","103","61","67",0,""
"401625402","103","2390","81","65",1,""
"401625406","103","228","76","55",1,""
"401625410","103","258","60","66",1,"OT"
"401583759","228","2737","78","56",0,""
"401583760","228","5","77","76",1,""
"401583849","2166","228","65","68",1,""
"401583761","228","68","85","68",0,""
"401583762","228","2016","90","69",0,""
"401574551","333","228","77","85",0,""
"401604094","221","228","70","79",0,""
"401583763","228","2579","72","67",0,""
"401578015","228","2628","74","66",1,""
"401583604","235","228","79","77",0,""
"401583723","228","2511","109","79",0,""
"401583764","228","2515","93","58",0,""
"401604103","2390","228","95","82",0,""
"401604106","228","153","55","65",0,""
"401604119","259","228","87","72",0,""
"401604128","228","59","90","93",0,"2OT"
"401604137","52","228","67","78",0,""
"401604148","150","228","72","71",0,""
"401604159","228","97","70","64",0,""
"401604162","228","258","65","66",0,""
"401604171","153","228","76","80",0,""
"401604182","183","228","68","77",0,""
"401604188","228","2390","77","60",0,""
"401604193","228","152","77","78",0,""
"401604201","59","228","57","81",0,""
"401604206","228","52","74","63",0,""
"401604213","228","221","69","62",0,""
"401604223","87","228","69","62",0,""
"401604228","228","183","90","75",0,""
"401604238","154","228","81","76",0,""
"401576147","150","159","92","54",0,""
"401576148","150","12","73","78",0,""
"401576149","127","150","65","74",1,""
"401576150","150","2083","90","60",0,""
"401576151","150","2325","95","66",0,""
"401576152","150","88","80","62",0,""
"401574555","8","150","80","75",0,""
"401604090","59","150","72","68",0,""
"401576153","150","2429","80","56",0,""
"401576154","150","2275","89","68",0,""
"401576155","150","239","78","70",1,""
"401574497","150","2511","106","69",0,""
"401604100","150","183","86","66",0,""
"401604110","87","150","59","67",0,""
"401604115","221","150","53","75",0,""
"401604121","150","59","84","79",0,""
"401604136","150","221","76","80",0,""
"401604144","97","150","69","83",0,""
"401604155","259","150","67","77",0,""
"401604165","153","150","93","84",0,""
"401604172","150","87","71","53",0,""
"401604183","150","154","77","69",0,""
"401604194","52","150","67","76",0,""
"401604203","2390","150","55","84",0,""
"401604210","154","150","83","79",0,""
"401604217","150","97","84","59",0,""
"401604218","150","258","73","48",0,""
"401604225","152","150","64","79",0,""
"401604232","150","153","79","84",0,""
"401625409","150","152","69","74",1,""
"401586904","52","338","94","67",0,""
"401586905","52","2117","94","67",0,""
"401575751","57","52","89","68",0,""
"401586906","2439","52","75","83",1,""
"401603138","38","52","71","77",1,"OT"
"401574557","52","61","66","68",0,""
"401604092","153","52","78","70",0,""
"401577577","52","58","72","88",1,""
"401586907","52","2567","57","68",0,""
"401584346","52","2454","91","75",0,""
"401586908","52","2737","67","61",0,""
"401586909","52","288","75","78",0,""
"401604102","52","59","82","71",0,""
"401604107","52","259","77","74",0,""
"401604113","52","154","87","82",0,""
"401604124","87","52","58","67",0,""
"401604131","2390","52","75","84",0,""
"401604142","183","52","69","85",0,""
"401604150","52","153","68","75",0,""
"401604164","97","52","101","92",0,""
"401604178","52","258","76","80",0,""
"401604185","259","52","83","75",0,""
"401604212","52","152","90","83",0,""
"401604221","59","52","85","76",0,""
"401604227","221","52","88","73",0,""
"401604233","52","2390","83","75",0,""
"401625403","259","52","76","86",1,""
"401625407","153","52","92","67",1,""
"401594618","59","290","84","62",0,""
"401604272","59","47","88","85",0,""
"401582018","59","2349","71","74",0,""
"401603537","2132","59","89","54",0,""
"401574547","59","344","67","59",0,""
"401594533","61","59","76","62",0,""
"401600099","59","2010","70","49",0,""
"401608453","213","59","81","82",1,"OT"
"401581339","113","59","70","73",1,""
"401581554","62","59","68","73",0,""
"401581559","2440","59","72","64",1,""
"401604114","59","87","68","75",0,"OT"
"401604138","59","258","66","75",0,""
"401604143","59","221","64","72",0,""
"401604149","259","59","91","67",0,""
"401604156","59","153","74","73",0,""
"401604166","152","59","82","76",0,""
"401604173","59","154","51","80",0,""
"401604179","97","59","79","67",0,""
"401604189","87","59","58","55",0,""
"401604195","59","183","65","60",0,""
"401604204","2390","59","76","80",0,""
"401604230","154","59","69","70",0,""
"401604236","258","59","72","57",0,""
"401625400","59","87","80","84",1,""
"401582026","97","2378","94","93",0,""
"401594561","97","236","71","81",0,""
"401589736","97","2154","61","41",0,""
"401591375","251","97","81","80",1,""
"401601490","84","97","74","66",1,""
"401598991","97","166","90","84",0,"OT"
"401598960","97","91","73","68",0,""
"401604095","259","97","75","68",0,""
"401597892","305","97","75","68",0,""
"401594615","97","2032","63","75",0,""
"401576687","97","2492","85","63",0,""
"401588941","97","96","76","95",0,""
"401604105","258","97","77","53",0,""
"401604109","97","221","70","83",0,""
"401604116","2390","97","71","80",0,""
"401604122","97","152","83","89",0,""
"401604132","153","97","86","70",0,""
"401604135","154","97","90","65",0,""
"401604151","97","258","52","69",0,""
"401604175","183","97","94","92",0,""
"401604196","221","97","86","59",0,""
"401604202","97","87","50","72",0,""
"401604222","97","183","76","82",0,""
"401604229","97","259","64","80",0,""
"401625401","152","97","94","85",1,""
"401588936","2390","2885","101","60",0,""
"401575461","2390","2116","88","72",0,""
"401588937","2390","2229","86","80",0,""
"401581515","2390","61","79","68",1,""
"401581517","2306","2390","83","91",1,""
"401574549","96","2390","95","73",0,""
"401604091","2390","87","62","49",0,""
"401576639","2390","112358","97","49",0,""
"401583792","2390","38","63","90",1,""
"401588938","2390","2325","84","77",0,""
"401588939","2390","284","97","59",0,""
"401584348","2390","2454","95","55",0,""
"401604112","154","2390","86","82",0,"OT"
"401604125","259","2390","71","75",0,""
"401604140","183","2390","72","69",0,""
"401604146","87","2390","61","73",0,""
"401604152","2390","221","72","68",0,""
"401604157","152","2390","74","68",0,""
"401604163","2390","259","82","74",0,""
"401604169","258","2390","60","38",0,""
"401604180","2390","153","72","75",0,""
"401604211","153","2390","75","71",0,""
"401583589","152","2643","72","59",0,""
"401583590","152","2000","84","64",0,""
"401583591","152","2127","87","53",0,""
"401582151","152","238","84","78",1,""
"401582153","152","252","86","95",1,""
"401574550","145","152","72","52",0,""
"401583592","152","2379","93","61",0,""
"401583593","152","2630","81","67",0,""
"401575523","152","2633","70","79",1,""
"401583594","152","139","82","70",0,""
"401583595","152","2174","83","66",0,""
"401604104","87","152","52","54",0,""
"401604111","152","258","76","60",0,""
"401604117","152","153","54","67",0,""
"401604129","152","154","83","76",0,""
"401604139","152","259","78","84",0,""
"401604147","258","152","59","53",0,"OT"
"401604154","183","152","77","65",0,""
"401604174","152","221","64","67",0,""
"401604177","154","152","83","79",0,""
"401604200","152","183","83","87",0,""
"401604219","153","152","79","70",0,""
"401604235","221","152","81","73",0,""
"401625405","152","183","83","65",1,""
"401625412","152","258","73","65",1,"OT"
"401625413","152","153","84","76",1,""
"401583596","153","2515","86","70",0,""
"401583597","153","2329","90","68",0,""
"401583598","153","27","77","52",0,""
"401580922","153","2460","91","69",1,""
"401581520","153","222","81","83",1,"OT"
"401581524","153","8","87","72",1,""
"401574552","153","2633","100","92",0,""
"401580309","153","41","76","87",1,""
"401581147","153","96","83","87",1,""
"401578668","153","201","81","69",1,""
"401583599","153","2127","105","60",0,""
"401604101","221","153","57","70",0,""
"401604123","153","183","103","67",0,""
"401604141","153","154","85","64",0,""
"401604187","183","153","86","79",0,""
"401604190","153","259","96","81",0,""
"401604205","258","153","44","54",0,""
"401604226","153","87","84","51",0,""
"401625411","153","221","72","65",1,""
"401582011","87","315","70","63",0,""
"401582012","87","2717","61","71",0,""
"401582155","2","87","83","59",1,""
"401582157","197","87","64","66",1,"OT"
"401582013","87","2379","75","55",0,""
"401574548","2579","87","65","53",0,""
"401581766","87","2711","86","65",0,""
"401577603","269","87","78","59",0,""
"401575488","87","46","68","72",0,"OT"
"401582014","87","2643","45","65",0,""
"401582015","87","2368","60","56",0,""
"401604096","87","258","76","54",0,""
"401604161","258","87","65","53",0,""
"401604167","221","87","70","60",0,""
"401604181","87","259","74","66",0,""
"401604209","183","87","88","85",0,""
"401604214","87","154","70","65",0,""
"401604237","259","87","82","76",0,""
"401625404","154","87","72","59",1,""
"401577552","221","2448","100","52",0,""
"401574591","221","2066","89","60",0,""
"401577553","221","526","86","74",0,""
"401577554","221","294","107","56",0,""
"401581800","221","57","71","86",1,""
"401582119","204","221","51","76",1,""
"401574546","221","142","64","71",0,""
"401575473","277","221","63","80",0,""
"401577555","221","2099","82","71",0,""
"401577556","221","2569","86","50",0,""
"401577557","221","2870","62","48",0,""
"401604097","183","221","81","73",0,""
"401604130","221","183","58","69",0,""
"401604160","221","154","77","72",0,""
"401604184","258","221","63","74",0,""
"401604198","154","221","91","58",0,""
"401604208","221","259","79","64",0,""
"401625408","154","221","69","81",1,""
"401574603","183","160","83","72",0,""
"401586910","183","2099","89","77",0,""
"401586911","183","2142","79","75",0,""
"401575873","183","2633","56","73",1,""
"401581596","183","2250","57","76",1,""
"401574545","183","99","80","57",0,""
"401604093","258","183","84","62",0,""
"401586912","183","172","81","70",0,""
"401575486","46","183","68","80",0,""
"401586913","183","2483","83","63",1,""
"401584393","183","315","83","71",0,""
"401604168","154","183","99","70",0,""
"401604215","183","259","84","71",0,""
"401638580","258","36","42","67",1,""
"401575425","258","2627","80","50",0,""
"401575426","258","57","73","70",1,""
"401575427","258","2448","80","51",0,""
"401575428","258","2640","62","33",0,""
"401575429","258","275","41","65",1,""
"401603134","258","277","56","54",1,""
"401574553","258","245","59","47",0,""
"401575430","258","2428","77","47",0,""
"401575431","258","111","56","54",0,""
"401575432","235","258","77","54",0,""
"401575433","258","2415","79","44",0,""
"401604126","154","258","66","47",0,""
"401604133","258","259","65","57",0,""
"401604191","258","154","49","47",0,""
"401604197","259","258","75","41",0,""
"401641098","259","257","74","58",0,""
"401584329","259","2154","100","55",0,""
"401581590","2579","259","79","77",1,""
"401584330","259","2097","60","44",0,""
"401584331","259","2747","98","76",0,""
"401581336","259","68","82","75",1,""
"401581566","259","66","71","62",1,""
"401581569","2226","259","84","50",1,""
"401574556","2","259","74","57",0,""
"401584332","259","2674","71","50",0,""
"401584333","259","261","73","51",0,""
"401584334","259","44","77","55",0,""
"401604098","154","259","86","63",0,""
"401604224","259","154","87","76",0,""
"401581088","154","2210","101","78",0,""
"401581089","61","154","80","77",0,""
"401581344","154","254","70","77",1,""
"401581547","119","154","61","71",1,""
"401581550","154","99","80","86",1,"OT"
"401581090","154","2127","71","56",0,""
"401574554","154","57","82","71",0,""
"401581091","154","164","76","57",0,""
"401581092","154","2885","83","59",0,""
"401581093","154","2169","88","59",0,""
"401581094","154","2506","91","68",0,""
"401589057","2244","2046","67","45",0,""
"401597880","2638","2046","71","63",0,""
"401604305","2046","2627","59","66",1,""
"401604308","16","2046","71","74",1,""
"401581828","2026","2046","78","58",0,""
"401597881","2046","2413","50","61",0,""
"401594466","2634","2046","69","65",0,""
"401594432","2046","93","53","49",0,""
"401597883","79","2046","68","70",0,""
"401597884","98","2046","65","64",0,""
"401587202","2046","195","71","67",0,""
"401583606","235","2046","81","70",0,""
"401574191","91","2046","68","84",0,""
"401574192","2198","2046","69","59",0,""
"401574193","288","2046","91","77",0,""
"401574194","2046","2453","83","80",0,"OT"
"401574195","2046","2110","94","71",0,""
"401574196","56","2046","83","82",0,""
"401574197","526","2046","73","67",0,""
"401574198","294","2046","63","43",0,""
"401574199","2046","2454","95","91",0,"2OT"
"401574200","2046","338","85","69",0,""
"401574201","2046","2511","79","76",0,""
"401574202","2110","2046","67","77",0,""
"401574203","2453","2046","79","87",0,""
"401574204","2046","288","85","90",0,""
"401574205","2046","2198","83","79",0,""
"401574206","2046","91","90","87",0,"OT"
"401625653","2046","2454","101","98",0,"OT"
"401625656","2046","2453","77","71",0,""
"401625658","56","2046","94","91",0,""
"401581774","264","91","91","57",0,""
"401598958","2306","91","83","75",0,""
"401594562","236","91","72","64",0,""
"401588590","189","91","67","85",0,""
"401597953","91","2413","51","64",0,""
"401575472","277","91","62","58",0,""
"401588601","2050","91","67","58",0,""
"401587219","91","339","61","70",0,""
"401598963","254","91","85","43",0,""
"401593957","252","91","101","59",0,""
"401597902","2272","91","90","85",0,""
"401575336","91","288","70","81",0,""
"401575337","2453","91","69","53",0,""
