"name","id","name.pop","name.538"
"Abil Christian","2000","Abil Christian","Abilene Christian"
"Air Force","2005",NA,NA
"Akron","2006","Akron","Akron"
"Alabama","333","Alabama","Alabama"
"Alabama A&M","2010",NA,NA
"Alabama State","2011",NA,NA
"Albany","399",NA,NA
"Alcorn State","2016",NA,NA
"American U","44",NA,NA
"Appalachian St","2026","APP","Appalachian St"
"AR-Pine Bluff","2029",NA,NA
"Arizona","12","Arizona","Arizona"
"Arizona State","9","ASU","Arizona State"
"Arkansas","8","Arkansas","Arkansas"
"Arkansas State","2032",NA,NA
"Army","349",NA,NA
"Auburn","2","Auburn","Auburn"
"Austin Peay","2046",NA,NA
"Ball State","2050",NA,NA
"Baylor","239","Baylor","Baylor"
"Belmont","2057",NA,"Belmont"
"Bethune-Cookman","2065",NA,NA
"Binghamton","2066",NA,NA
"Boise State","68","Boise St","Boise State"
"Boston College","103",NA,NA
"Boston U","104",NA,NA
"Bowling Green","189",NA,NA
"Bradley","71",NA,"Bradley"
"Brown","225",NA,NA
"Bryant","2803",NA,"Bryant"
"Bucknell","2083","Bucknell","Bucknell"
"Buffalo","2084","Buffalo","Buffalo"
"Butler","2086","Butler","Butler"
"BYU","252","BYU","Brigham Young"
"C. Carolina","324",NA,NA
"Cal","25",NA,NA
"Cal Poly","13",NA,NA
"Campbell","2097",NA,NA
"Canisius","2099",NA,NA
"Cent Arkansas","2110",NA,NA
"Cent Conn St","2115",NA,NA
"Cent Michigan","2117",NA,NA
"Charleston","232","Charleston","College of Charleston"
"Charleston So","2127",NA,NA
"Charlotte","2429",NA,NA
"Chattanooga","236","Chattanooga","Chattanooga"
"Chicago State","2130",NA,NA
"Cincinnati","2132","Cincinnati","Cincinnati"
"Clemson","228","Clemson","Clemson"
"Cleveland State","325","Cleveland State","Cleveland State"
"Colgate","2142","Colgate","Colgate"
"Colorado","38","Colorado","Colorado"
"Colorado State","36","Colorado State","Colorado State"
"Columbia","171",NA,NA
"Coppin State","2154",NA,NA
"Cornell","172",NA,NA
"Creighton","156","Creighton","Creighton"
"CSU Bakersfield","2934",NA,NA
"CSU Fullerton","2239","CSU Fullerton","Cal State Fullerton"
"CSU Northridge","2463",NA,NA
"Dartmouth","159",NA,NA
"Davidson","2166","Davidson","Davidson"
"Dayton","2168","Dayton","Dayton"
"Delaware","48","Delaware","Delaware"
"Delaware State","2169",NA,NA
"Denver","2172",NA,NA
"DePaul","305",NA,NA
"Detroit Mercy","2174",NA,NA
"Drake","2181","Drake","Drake"
"Drexel","2182","Drexel","Drexel"
"Duke","150","Duke","Duke"
"Duquesne","2184",NA,NA
"E Illinois","2197",NA,NA
"E Kentucky","2198",NA,NA
"E Michigan","2199",NA,NA
"E Washington","331","E Washington","Eastern Washington"
"ECU","151",NA,NA
"Elon","2210",NA,NA
